isolate,amp_mic,amp_sir,coa_mic,coa_sir
AMC_160,<=2,S,4/2,S
AMC_161,<=2,S,<=2/2,S
AMC_162,<=2,S,4/2,S
AMC_163,>8,R,>32/2,R
AMC_164,>8,R,8/2,S
AMC_165,<=2,S,<=2/2,S
AMC_166,<=2,S,<=2/2,S
AMC_167,>8,R,>32/2,R
AMC_168,>8,R,4/2,S
AMC_169,<=2,S,4/2,S
AMC_170,<=2,S,4/2,S
AMC_171,>8,R,>32/2,R
AMC_172,>8,R,4/2,S
AMC_173,>8,R,8/2,S
AMC_174,>8,R,>32/2,R
AMC_175,>8,R,8/2,S
AMC_176,>8,R,4/2,S
AMC_177,<=2,S,<=2/2,S
AMC_178,<=2,S,<=2/2,S
AMC_179,>8,R,32/2,R
AMC_180,>8,R,16/2,R
AMC_181,>8,R,>32/2,R
AMC_182,<=2,S,<=2/2,S
AMC_183,>8,R,>32/2,R
AMC_184,>8,R,16/2,R
AMC_185,>8,R,16/2,R
AMC_186,<=2,S,<=2/2,S
AMC_187,>8,R,>32/2,R
AMC_188,<=2,S,4/2,S
AMC_189,<=2,S,4/2,S
AMC_190,<=2,S,4/2,S
AMC_191,>8,R,32/2,R
AMC_192,>8,R,8/2,S
AMC_193,>8,R,>32/2,R
AMC_194,4,S,4/2,S
AMC_195,>8,R,>32/2,R
AMC_196,>8,R,>32/2,R
AMC_197,<=2,S,4/2,S
AMC_198,>8,R,32/2,R
AMC_199,>8,R,>32/2,R
AMC_200,<=2,S,<=2/2,S
AMC_201,>8,R,8/2,S
AMC_202,<=2,S,<=2/2,S
AMC_203,>8,R,>32/2,R
AMC_204,>8,R,>32/2,R
AMC_205,>8,R,8/2,S
AMC_206,<=2,S,<=2/2,S
AMC_207,<=2,S,4/2,S
AMC_208,<=2,S,<=2/2,S
AMC_209,<=2,S,4/2,S
AMC_210,>8,R,8/2,S
AMC_211,>8,R,32/2,R
AMC_212,>8,R,8/2,S
AMC_213,<=2,S,<=2/2,S
AMC_214,>8,R,8/2,S
AMC_215,<=2,S,<=2/2,S
AMC_216,<=2,S,4/2,S
AMC_217,<=2,S,<=2/2,S
AMC_218,<=2,S,4/2,S
AMC_219,>8,R,8/2,S
AMC_220,>8,R,32/2,R
AMC_221,<=2,S,<=2/2,S
AMC_222,>8,R,8/2,S
AMC_223,>8,R,8/2,S
AMC_224,<=2,S,4/2,S
AMC_225,>8,R,>32/2,R
AMC_226,>8,R,16/2,R
AMC_227,>8,R,>32/2,R
AMC_228,>8,R,16/2,R
AMC_229,>8,R,>32/2,R
AMC_230,>8,R,>32/2,R
AMC_231,<=2,S,<=2/2,S
AMC_232,>8,R,>32/2,R
AMC_233,>8,R,32/2,R
AMC_234,<=2,S,<=2/2,S
AMC_235,>8,R,8/2,S
AMC_236,>8,R,8/2,S
AMC_237,>8,R,>32/2,R
AMC_238,>8,R,>32/2,R
AMC_239,<=2,S,4/2,S
AMC_240,4,S,8/2,S
AMC_241,>8,R,>32/2,R
AMC_242,<=2,S,4/2,S
AMC_243,>8,R,8/2,S
AMC_244,<=2,S,<=2/2,S
AMC_245,>8,R,8/2,S
AMC_246,4,S,8/2,S
AMC_247,>8,R,8/2,S
AMC_248,<=2,S,4/2,S
AMC_249,>8,R,8/2,S
AMC_250,<=2,S,<=2/2,S
AMC_251,>8,R,8/2,S
AMC_252,4,S,4/2,S
AMC_253,>8,R,>32/2,R
AMC_254,<=2,S,<=2/2,S
AMC_255,4,S,4/2,S
AMC_256,>8,R,>32/2,R
AMC_257,>8,R,4/2,S
AMC_258,>8,R,32/2,R
AMC_259,<=2,S,4/2,S
AMC_260,>8,R,<=2/2,S
AMC_261,<=2,S,4/2,S
AMC_262,<=2,S,<=2/2,S
AMC_263,>8,R,32/2,R
AMC_264,4,S,8/2,S
AMC_265,<=2,S,<=2/2,S
AMC_266,4,S,8/2,S
AMC_267,<=2,S,4/2,S
AMC_268,<=2,S,<=2/2,S
AMC_269,<=2,S,<=2/2,S
AMC_270,>8,R,8/2,S
AMC_271,<=2,S,4/2,S
AMC_272,>8,R,16/2,R
AMC_273,<=2,S,<=2/2,S
AMC_274,<=2,S,4/2,S
AMC_275,<=2,S,4/2,S
AMC_276,4,S,16/2,R
AMC_277,<=2,S,4/2,S
AMC_278,<=2,S,4/2,S
AMC_279,>8,R,32/2,R
AMC_280,<=2,S,4/2,S
AMC_281,>8,R,8/2,S
AMC_282,<=2,S,4/2,S
AMC_283,>8,R,>32/2,R
AMC_284,>8,R,16/2,R
AMC_285,<=2,S,<=2/2,S
AMC_286,>8,R,16/2,R
AMC_287,<=2,S,4/2,S
AMC_288,>8,R,>32/2,R
AMC_289,4,S,4/2,S
AMC_290,4,S,8/2,S
AMC_291,8,S,16/2,R
AMC_292,>8,R,8/2,S
AMC_293,<=2,S,4/2,S
AMC_294,<=2,S,<=2/2,S
AMC_295,>8,R,8/2,S
AMC_296,<=2,S,4/2,S
AMC_297,>8,R,>32/2,R
AMC_298,<=2,S,4/2,S
AMC_299,>8,R,16/2,R
AMC_300,>8,R,16/2,R
AMC_301,>8,R,4/2,S
AMC_302,>8,R,>32/2,R
AMC_303,>8,R,32/2,R
AMC_304,>8,R,>32/2,R
AMC_305,>8,R,>32/2,R
AMC_306,>8,R,>32/2,R
AMC_307,>8,R,>32/2,R
AMC_308,<=2,S,4/2,S
AMC_309,>8,R,8/2,S
AMC_310,>8,R,32/2,R
AMC_311,>8,R,16/2,R
