isolate,amp_mic,amp_sir,coa_mic,coa_sir
AMC_772,>8,R,>32/2,R
AMC_773,<=2,S,4/2,S
AMC_774,>8,R,32/2,R
AMC_775,>8,R,>32/2,R
AMC_776,<=2,S,4/2,S
AMC_777,<=2,S,<=2/2,S
AMC_778,>8,R,>32/2,R
AMC_779,>8,R,>32/2,R
AMC_780,<=2,S,4/2,S
AMC_781,<=2,S,4/2,S
AMC_782,>8,R,32/2,R
AMC_783,<=2,S,4/2,S
AMC_784,<=2,S,4/2,S
AMC_785,>8,R,8/2,S
AMC_786,<=2,S,<=2/2,S
AMC_787,>8,R,>32/2,R
AMC_788,<=2,S,4/2,S
AMC_789,<=2,S,<=2/2,S
AMC_790,<=2,S,4/2,S
AMC_791,<=2,S,<=2/2,S
AMC_792,<=2,S,<=2/2,S
AMC_793,>8,R,8/2,S
AMC_794,<=2,S,4/2,S
AMC_795,<=2,S,<=2/2,S
AMC_796,>8,R,32/2,R
AMC_797,>8,R,>32/2,R
AMC_798,<=2,S,4/2,S
AMC_799,>8,R,>32/2,R
AMC_800,<=2,S,4/2,S
AMC_801,<=2,S,<=2/2,S
